date,run_mode,macro,internals,technical,sentiment,regime_score,regime,confidence
2026-02-09 09:32,CLOSE,44.4,56.8,63.2,51.7,54.2,CHOPPY,4.2
2026-02-09 09:39,MORNING,45.5,57.5,62.8,51.2,54.6,CHOPPY,4.6
2026-02-09 09:42,CLOSE,46.1,51.3,63.0,51.2,53.2,CHOPPY,3.2
2026-02-09 09:53,CLOSE,45.9,50.2,62.8,51.7,52.9,CHOPPY,2.9
2026-02-09 09:53,CLOSE,45.9,49.5,62.7,51.7,52.7,CHOPPY,2.7
2026-02-09 10:03,CLOSE,44.4,52.9,55.5,51.5,50.9,CHOPPY,0.9
2026-02-09 10:58,CLOSE,44.8,nan,55.9,53.3,nan,CHOPPY,nan
2026-02-09 11:00,MORNING,45.7,57.5,55.1,53.3,52.6,CHOPPY,2.6
2026-02-09 11:00,CLOSE,45.2,57.5,55.0,53.3,52.4,CHOPPY,2.4
2026-02-09 16:05,CLOSE,46.2,60.4,55.7,52.8,53.6,CHOPPY,3.6
2026-02-10 09:25,MORNING,49.7,60.9,55.8,53.4,54.9,CHOPPY,4.9
2026-02-10 16:05,CLOSE,46.1,62.6,56.4,55.0,54.6,CHOPPY,4.6
2026-02-11 09:25,MORNING,43.4,62.4,56.3,53.7,53.6,CHOPPY,3.6
2026-02-11 16:05,CLOSE,44.8,53.3,54.9,51.7,51.0,CHOPPY,1.0
2026-02-12 09:25,MORNING,49.5,53.4,54.9,49.6,52.1,CHOPPY,2.1
2026-02-12 16:05,CLOSE,45.7,49.5,32.6,52.4,43.7,CHOPPY,6.3
2026-02-13 09:25,MORNING,49.0,49.2,32.6,51.9,44.6,CHOPPY,5.4
2026-02-13 16:05,CLOSE,48.5,68.8,44.4,51.5,52.8,CHOPPY,2.8
2026-02-17 09:25,MORNING,44.0,68.9,44.4,51.3,51.4,CHOPPY,1.4
2026-02-17 16:05,CLOSE,44.0,62.4,51.1,50.0,51.6,CHOPPY,1.6
2026-02-18 09:25,MORNING,44.7,62.0,51.1,51.0,51.9,CHOPPY,1.9
2026-02-18 16:05,CLOSE,44.7,61.6,51.3,51.1,51.9,CHOPPY,1.9
2026-02-19 09:25,MORNING,43.1,61.3,51.3,52.7,51.5,CHOPPY,1.5
2026-02-19 16:05,CLOSE,43.9,72.8,52.1,53.9,55.1,CHOPPY,5.1
2026-02-20 09:25,MORNING,43.2,72.7,52.1,53.3,54.8,CHOPPY,4.8
2026-02-20 16:05,CLOSE,43.0,61.6,52.2,54.0,52.1,CHOPPY,2.1
2026-02-23 09:25,MORNING,42.5,61.5,52.2,49.2,51.2,CHOPPY,1.2
2026-02-23 16:05,CLOSE,39.6,49.4,30.9,50.5,41.1,CHOPPY,8.9
2026-02-24 09:25,MORNING,40.3,49.3,30.9,48.5,41.0,CHOPPY,9.0
