date,overnight_high,overnight_low,overnight_mid,current_es,regime,signal,spy_open,spy_close,day_outcome,day_return_pct,correct
2025-02-07,6114.75,6084.5,6099.62,6120.5,Bullish breakout,Bullish,599.85,593.8,Bearish,-1.0084,False
2025-02-10,6085.75,6014.0,6049.88,6075.5,Inside overnight range,Inside,597.02,597.83,Bullish,0.1357,
2025-02-11,6087.25,6058.5,6072.88,6072.5,Inside overnight range,Inside,595.56,598.28,Bullish,0.4581,
2025-02-12,6098.0,6024.5,6061.25,6052.75,Inside overnight range,Inside,592.25,596.36,Bullish,0.6943,
2025-02-13,6090.25,6053.5,6071.88,6086.25,Inside overnight range,Inside,597.46,602.65,Bullish,0.8685,
2025-02-14,6146.75,6121.25,6134.0,6140.0,Inside overnight range,Inside,602.86,602.62,Bearish,-0.0393,
2025-02-18,6157.75,6143.0,6150.38,6135.75,Bearish breakdown,Bearish,603.79,604.39,Bullish,0.0999,False
2025-02-19,6157.0,6131.75,6144.38,6132.75,Inside overnight range,Inside,603.0,605.82,Bullish,0.4671,
2025-02-20,6159.5,6141.0,6150.25,6116.75,Bearish breakdown,Bearish,604.44,603.3,Bearish,-0.1897,True
2025-02-21,6141.75,6127.25,6134.5,6115.0,Bearish breakdown,Bearish,603.08,592.98,Bearish,-1.675,True
2025-02-24,6067.5,6034.0,6050.75,6017.0,Bearish breakdown,Bearish,595.03,590.28,Bearish,-0.799,True
2025-02-25,6016.0,5977.75,5996.88,5981.25,Inside overnight range,Inside,590.22,587.34,Bearish,-0.4873,
2025-02-26,6004.0,5977.5,5990.75,6004.5,Bullish breakout,Bullish,589.01,587.64,Bearish,-0.2333,False
2025-02-27,6014.5,5961.0,5987.75,5951.0,Bearish breakdown,Bearish,589.92,578.26,Bearish,-1.977,True
2025-02-28,5900.5,5858.75,5879.62,5884.0,Inside overnight range,Inside,578.76,587.28,Bullish,1.4721,
2025-03-03,6000.5,5947.0,5973.75,5951.5,Inside overnight range,Inside,589.26,576.99,Bearish,-2.0816,
2025-03-04,5881.5,5812.0,5846.75,5779.0,Bearish breakdown,Bearish,572.98,570.16,Bearish,-0.4916,True
2025-03-05,5844.25,5783.75,5814.0,5778.25,Bearish breakdown,Bearish,570.0,576.29,Bullish,1.1046,False
2025-03-06,5853.5,5769.25,5811.38,5763.5,Bearish breakdown,Bearish,568.8,566.06,Bearish,-0.4813,True
2025-03-07,5786.5,5729.25,5757.88,5756.25,Inside overnight range,Inside,564.27,569.24,Bullish,0.8793,
2025-03-10,5757.75,5687.25,5722.5,5689.25,Inside overnight range,Inside,561.0,554.07,Bearish,-1.235,
2025-03-11,5651.75,5558.0,5604.88,5613.25,Inside overnight range,Inside,552.91,549.47,Bearish,-0.6221,
2025-03-12,5675.0,5574.25,5624.62,5608.5,Inside overnight range,Inside,555.64,552.38,Bearish,-0.587,
2025-03-13,5623.0,5559.5,5591.25,5563.0,Inside overnight range,Inside,552.01,545.02,Bearish,-1.2659,
2025-03-14,5588.0,5538.75,5563.38,5595.25,Bullish breakout,Bullish,549.66,556.28,Bullish,1.2048,True
2025-03-17,5649.0,5599.0,5624.0,5667.0,Bullish breakout,Bullish,556.26,560.57,Bullish,0.7747,True
2025-03-18,5686.25,5652.75,5669.5,5616.75,Bearish breakdown,Bearish,558.24,554.51,Bearish,-0.6693,True
2025-03-19,5638.25,5606.25,5622.25,5648.25,Bullish breakout,Bullish,556.3,560.55,Bullish,0.764,True
2025-03-20,5708.25,5631.5,5669.88,5674.25,Inside overnight range,Inside,556.79,558.93,Bullish,0.3834,
2025-03-21,5674.25,5614.75,5644.5,5615.0,Inside overnight range,Inside,554.45,559.11,Bullish,0.8404,
2025-03-24,5788.0,5739.0,5763.5,5802.0,Bullish breakout,Bullish,565.87,569.12,Bullish,0.5746,True
2025-03-25,5834.0,5802.25,5818.12,5819.75,Inside overnight range,Inside,570.33,570.49,Bullish,0.0278,
2025-03-26,5836.5,5813.75,5825.12,5808.5,Bearish breakdown,Bearish,570.22,563.68,Bearish,-1.1474,True
2025-03-27,5772.75,5730.0,5751.38,5754.0,Inside overnight range,Inside,562.28,562.18,Bearish,-0.0176,
2025-03-28,5747.75,5711.5,5729.62,5707.25,Bearish breakdown,Bearish,560.65,550.86,Bearish,-1.7453,True
2025-03-31,5600.0,5552.0,5576.0,5562.5,Inside overnight range,Inside,545.08,554.56,Bullish,1.7387,
2025-04-01,5663.5,5618.0,5640.75,5636.5,Inside overnight range,Inside,552.64,556.13,Bullish,0.6314,
2025-04-02,5695.75,5612.0,5653.88,5651.25,Inside overnight range,Inside,550.26,559.65,Bullish,1.7062,
2025-04-03,5564.75,5481.0,5522.88,5508.75,Inside overnight range,Inside,540.4,532.07,Bearish,-1.5428,
2025-04-04,5435.0,5210.5,5322.75,5287.0,Inside overnight range,Inside,519.15,500.92,Bearish,-3.5118,
2025-04-07,5040.0,4832.0,4936.0,5007.25,Inside overnight range,Inside,484.97,500.03,Bullish,3.1051,
2025-04-08,5248.0,5115.0,5181.5,5280.0,Bullish breakout,Bullish,517.35,492.19,Bearish,-4.8634,False
2025-04-09,5057.25,4871.75,4964.5,5048.25,Inside overnight range,Inside,489.18,543.88,Bullish,11.1827,
2025-04-10,5528.75,5359.5,5444.12,5343.25,Bearish breakdown,Bearish,527.58,520.05,Bearish,-1.4262,True
2025-04-11,5379.0,5206.5,5292.75,5316.75,Inside overnight range,Inside,518.49,529.33,Bullish,2.0898,
2025-04-14,5483.5,5410.0,5446.75,5457.75,Inside overnight range,Inside,539.35,534.47,Bearish,-0.9062,
2025-04-15,5463.0,5413.0,5438.0,5467.25,Bullish breakout,Bullish,535.01,532.97,Bearish,-0.3817,False
2025-04-16,5425.0,5340.0,5382.5,5348.75,Inside overnight range,Inside,527.09,521.12,Bearish,-1.1323,
2025-04-17,5371.25,5293.25,5332.25,5334.0,Inside overnight range,Inside,523.08,521.87,Bearish,-0.2331,
2025-04-21,5306.75,5238.0,5272.38,5220.5,Bearish breakdown,Bearish,516.66,509.44,Bearish,-1.3969,True
2025-04-22,5254.5,5171.75,5213.12,5263.75,Bullish breakout,Bullish,515.65,522.7,Bullish,1.3669,True
2025-04-23,5456.75,5377.75,5417.25,5482.0,Bullish breakout,Bullish,535.76,530.8,Bearish,-0.927,False
2025-04-24,5421.0,5355.25,5388.12,5439.5,Bullish breakout,Bullish,532.09,541.97,Bullish,1.8576,True
2025-04-25,5553.0,5486.75,5519.88,5492.5,Inside overnight range,Inside,541.93,545.89,Bullish,0.7299,
2025-04-28,5554.5,5516.25,5535.38,5545.5,Inside overnight range,Inside,546.63,546.09,Bearish,-0.0979,
2025-04-29,5573.75,5533.25,5553.5,5549.0,Inside overnight range,Inside,544.17,549.53,Bullish,0.9856,
2025-04-30,5583.0,5502.25,5542.62,5459.5,Bearish breakdown,Bearish,542.84,549.75,Bullish,1.2729,False
2025-05-01,5662.25,5615.0,5638.62,5629.0,Inside overnight range,Inside,555.53,553.65,Bearish,-0.3391,
2025-05-02,5692.75,5601.0,5646.88,5676.0,Inside overnight range,Inside,559.85,561.87,Bullish,0.3595,
2025-05-05,5705.25,5655.25,5680.25,5669.25,Inside overnight range,Inside,557.71,558.64,Bullish,0.1671,
2025-05-06,5673.25,5616.5,5644.88,5611.25,Bearish breakdown,Bearish,553.11,553.98,Bullish,0.1559,False
2025-05-07,5689.75,5608.5,5649.12,5651.0,Inside overnight range,Inside,555.31,556.31,Bullish,0.1785,
2025-05-08,5717.5,5636.5,5677.0,5677.75,Inside overnight range,Inside,560.36,560.18,Bearish,-0.0318,
2025-05-09,5715.25,5665.25,5690.25,5704.75,Inside overnight range,Inside,561.59,559.47,Bearish,-0.3778,
2025-05-12,5865.75,5734.25,5800.0,5823.25,Inside overnight range,Inside,576.45,577.96,Bullish,0.2614,
2025-05-13,5885.5,5835.75,5860.62,5888.5,Bullish breakout,Bullish,578.37,581.77,Bullish,0.5879,True
2025-05-14,5924.5,5896.25,5910.38,5910.25,Inside overnight range,Inside,582.74,582.52,Bearish,-0.0374,
