date,action,shares,entry,exit,pnl,capital
2025-02-07,LONG,16.0,599.85,593.8,-96.8,9903.2
2025-02-10,FLAT,,,,0.0,9903.2
2025-02-11,FLAT,,,,0.0,9903.2
2025-02-12,FLAT,,,,0.0,9903.2
2025-02-13,FLAT,,,,0.0,9903.2
2025-02-14,FLAT,,,,0.0,9903.2
2025-02-18,SHORT,16.0,603.79,604.39,-9.6,9893.6
2025-02-19,FLAT,,,,0.0,9893.6
2025-02-20,SHORT,16.0,604.44,603.3,18.24,9911.84
2025-02-21,SHORT,16.0,603.08,592.98,161.6,10073.44
2025-02-24,SHORT,16.0,595.03,590.28,76.0,10149.44
2025-02-25,FLAT,,,,0.0,10149.44
2025-02-26,LONG,17.0,589.01,587.64,-23.29,10126.15
2025-02-27,SHORT,17.0,589.92,578.26,198.22,10324.37
2025-02-28,FLAT,,,,0.0,10324.37
2025-03-03,FLAT,,,,0.0,10324.37
2025-03-04,SHORT,18.0,572.98,570.16,50.76,10375.13
2025-03-05,SHORT,18.0,570.0,576.29,-113.22,10261.91
2025-03-06,SHORT,18.0,568.8,566.06,49.32,10311.23
2025-03-07,FLAT,,,,0.0,10311.23
2025-03-10,FLAT,,,,0.0,10311.23
2025-03-11,FLAT,,,,0.0,10311.23
2025-03-12,FLAT,,,,0.0,10311.23
2025-03-13,FLAT,,,,0.0,10311.23
2025-03-14,LONG,18.0,549.66,556.28,119.16,10430.39
2025-03-17,LONG,18.0,556.26,560.57,77.58,10507.97
2025-03-18,SHORT,18.0,558.24,554.51,67.14,10575.11
2025-03-19,LONG,19.0,556.3,560.55,80.75,10655.86
2025-03-20,FLAT,,,,0.0,10655.86
2025-03-21,FLAT,,,,0.0,10655.86
2025-03-24,LONG,18.0,565.87,569.12,58.5,10714.36
2025-03-25,FLAT,,,,0.0,10714.36
2025-03-26,SHORT,18.0,570.22,563.68,117.72,10832.08
2025-03-27,FLAT,,,,0.0,10832.08
2025-03-28,SHORT,19.0,560.65,550.86,186.01,11018.09
2025-03-31,FLAT,,,,0.0,11018.09
2025-04-01,FLAT,,,,0.0,11018.09
2025-04-02,FLAT,,,,0.0,11018.09
2025-04-03,FLAT,,,,0.0,11018.09
2025-04-04,FLAT,,,,0.0,11018.09
2025-04-07,FLAT,,,,0.0,11018.09
2025-04-08,LONG,21.0,517.35,492.19,-528.36,10489.73
2025-04-09,FLAT,,,,0.0,10489.73
2025-04-10,SHORT,19.0,527.58,520.05,143.07,10632.8
2025-04-11,FLAT,,,,0.0,10632.8
2025-04-14,FLAT,,,,0.0,10632.8
2025-04-15,LONG,19.0,535.01,532.97,-38.76,10594.04
2025-04-16,FLAT,,,,0.0,10594.04
2025-04-17,FLAT,,,,0.0,10594.04
2025-04-21,SHORT,20.0,516.66,509.44,144.4,10738.44
2025-04-22,LONG,20.0,515.65,522.7,141.0,10879.44
2025-04-23,LONG,20.0,535.76,530.8,-99.2,10780.24
2025-04-24,LONG,20.0,532.09,541.97,197.6,10977.84
2025-04-25,FLAT,,,,0.0,10977.84
2025-04-28,FLAT,,,,0.0,10977.84
2025-04-29,FLAT,,,,0.0,10977.84
2025-04-30,SHORT,20.0,542.84,549.75,-138.2,10839.64
2025-05-01,FLAT,,,,0.0,10839.64
2025-05-02,FLAT,,,,0.0,10839.64
2025-05-05,FLAT,,,,0.0,10839.64
2025-05-06,SHORT,19.0,553.11,553.98,-16.53,10823.11
2025-05-07,FLAT,,,,0.0,10823.11
2025-05-08,FLAT,,,,0.0,10823.11
2025-05-09,FLAT,,,,0.0,10823.11
2025-05-12,FLAT,,,,0.0,10823.11
2025-05-13,LONG,18.0,578.37,581.77,61.2,10884.31
2025-05-14,FLAT,,,,0.0,10884.31
2025-05-15,FLAT,,,,0.0,10884.31
2025-05-16,FLAT,,,,0.0,10884.31
2025-05-19,FLAT,,,,0.0,10884.31
2025-05-20,FLAT,,,,0.0,10884.31
2025-05-21,FLAT,,,,0.0,10884.31
2025-05-22,FLAT,,,,0.0,10884.31
2025-05-23,FLAT,,,,0.0,10884.31
2025-05-27,FLAT,,,,0.0,10884.31
2025-05-28,FLAT,,,,0.0,10884.31
2025-05-29,FLAT,,,,0.0,10884.31
2025-05-30,FLAT,,,,0.0,10884.31
2025-06-02,FLAT,,,,0.0,10884.31
2025-06-03,FLAT,,,,0.0,10884.31
2025-06-04,FLAT,,,,0.0,10884.31
2025-06-05,SHORT,18.0,592.47,587.93,81.72,10966.03
2025-06-06,LONG,18.0,593.49,593.97,8.64,10974.67
2025-06-09,FLAT,,,,0.0,10974.67
2025-06-10,FLAT,,,,0.0,10974.67
2025-06-11,FLAT,,,,0.0,10974.67
2025-06-12,FLAT,,,,0.0,10974.67
2025-06-13,FLAT,,,,0.0,10974.67
2025-06-16,LONG,18.0,595.22,597.48,40.68,11015.35
2025-06-17,FLAT,,,,0.0,11015.35
2025-06-18,FLAT,,,,0.0,11015.35
2025-06-20,LONG,18.0,594.97,590.89,-73.44,10941.91
2025-06-23,LONG,18.0,591.65,596.73,91.44,11033.35
2025-06-24,FLAT,,,,0.0,11033.35
2025-06-25,FLAT,,,,0.0,11033.35
2025-06-26,FLAT,,,,0.0,11033.35
2025-06-27,FLAT,,,,0.0,11033.35
2025-06-30,FLAT,,,,0.0,11033.35
2025-07-01,FLAT,,,,0.0,11033.35
2025-07-02,FLAT,,,,0.0,11033.35
2025-07-03,LONG,17.0,618.9,621.77,48.79,11082.14
2025-07-07,FLAT,,,,0.0,11082.14
2025-07-08,FLAT,,,,0.0,11082.14
2025-07-09,LONG,17.0,619.22,620.5,21.76,11103.9
2025-07-10,FLAT,,,,0.0,11103.9
2025-07-11,FLAT,,,,0.0,11103.9
2025-07-14,LONG,17.0,619.61,621.25,27.88,11131.78
2025-07-15,FLAT,,,,0.0,11131.78
2025-07-16,FLAT,,,,0.0,11131.78
2025-07-17,LONG,17.0,620.84,624.46,61.54,11193.32
2025-07-18,FLAT,,,,0.0,11193.32
2025-07-21,LONG,17.0,625.18,625.18,0.0,11193.32
2025-07-22,SHORT,17.0,625.51,625.27,4.08,11197.4
2025-07-23,FLAT,,,,0.0,11197.4
2025-07-24,FLAT,,,,0.0,11197.4
2025-07-25,FLAT,,,,0.0,11197.4
2025-07-28,SHORT,17.0,633.84,633.31,9.01,11206.41
2025-07-29,FLAT,,,,0.0,11206.41
2025-07-30,FLAT,,,,0.0,11206.41
2025-07-31,FLAT,,,,0.0,11206.41
2025-08-01,SHORT,17.0,622.73,618.17,77.52,11283.93
2025-08-04,LONG,18.0,622.1,627.57,98.46,11382.39
2025-08-05,FLAT,,,,0.0,11382.39
2025-08-06,FLAT,,,,0.0,11382.39
2025-08-07,FLAT,,,,0.0,11382.39
2025-08-08,LONG,18.0,630.44,633.55,55.98,11438.37
2025-08-11,FLAT,,,,0.0,11438.37
2025-08-12,FLAT,,,,0.0,11438.37
2025-08-13,LONG,17.0,641.23,641.21,-0.34,11438.03
2025-08-14,FLAT,,,,0.0,11438.03
2025-08-15,SHORT,17.0,642.31,639.77,43.18,11481.21
2025-08-18,FLAT,,,,0.0,11481.21
2025-08-19,FLAT,,,,0.0,11481.21
2025-08-20,SHORT,18.0,635.75,634.47,23.04,11504.25
2025-08-21,SHORT,18.0,632.65,631.93,12.96,11517.21
2025-08-22,LONG,18.0,634.12,641.63,135.18,11652.39
2025-08-25,FLAT,,,,0.0,11652.39
2025-08-26,FLAT,,,,0.0,11652.39
2025-08-27,FLAT,,,,0.0,11652.39
2025-08-28,FLAT,,,,0.0,11652.39
2025-08-29,SHORT,18.0,643.78,641.37,43.38,11695.77
2025-09-02,FLAT,,,,0.0,11695.77
2025-09-03,FLAT,,,,0.0,11695.77
2025-09-04,FLAT,,,,0.0,11695.77
2025-09-05,FLAT,,,,0.0,11695.77
2025-09-08,FLAT,,,,0.0,11695.77
2025-09-09,FLAT,,,,0.0,11695.77
2025-09-10,FLAT,,,,0.0,11695.77
2025-09-11,LONG,17.0,650.45,653.88,58.31,11754.08
2025-09-12,FLAT,,,,0.0,11754.08
2025-09-15,LONG,17.0,655.88,657.14,21.42,11775.5
2025-09-16,FLAT,,,,0.0,11775.5
2025-09-17,FLAT,,,,0.0,11775.5
2025-09-18,FLAT,,,,0.0,11775.5
2025-09-19,FLAT,,,,0.0,11775.5
2025-09-22,FLAT,,,,0.0,11775.5
2025-09-23,FLAT,,,,0.0,11775.5
2025-09-24,FLAT,,,,0.0,11775.5
2025-09-25,SHORT,17.0,656.0,656.11,-1.87,11773.63
2025-09-26,LONG,17.0,657.57,659.87,39.1,11812.73
2025-09-29,FLAT,,,,0.0,11812.73
2025-09-30,FLAT,,,,0.0,11812.73
2025-10-01,FLAT,,,,0.0,11812.73
2025-10-02,FLAT,,,,0.0,11812.73
2025-10-03,FLAT,,,,0.0,11812.73
2025-10-06,FLAT,,,,0.0,11812.73
2025-10-07,FLAT,,,,0.0,11812.73
2025-10-08,FLAT,,,,0.0,11812.73
2025-10-09,SHORT,17.0,671.55,669.18,40.29,11853.02
2025-10-10,LONG,17.0,670.15,651.1,-323.85,11529.17
2025-10-13,FLAT,,,,0.0,11529.17
2025-10-14,FLAT,,,,0.0,11529.17
2025-10-15,LONG,17.0,664.86,663.21,-28.05,11501.12
2025-10-16,FLAT,,,,0.0,11501.12
2025-10-17,FLAT,,,,0.0,11501.12
2025-10-20,LONG,17.0,665.35,669.32,67.49,11568.61
2025-10-21,FLAT,,,,0.0,11568.61
2025-10-22,FLAT,,,,0.0,11568.61
2025-10-23,LONG,17.0,666.15,669.78,61.71,11630.32
2025-10-24,FLAT,,,,0.0,11630.32
2025-10-27,FLAT,,,,0.0,11630.32
2025-10-28,FLAT,,,,0.0,11630.32
2025-10-29,LONG,16.0,686.69,685.36,-21.28,11609.04
2025-10-30,FLAT,,,,0.0,11609.04
2025-10-31,SHORT,16.0,683.02,680.05,47.52,11656.56
2025-11-03,FLAT,,,,0.0,11656.56
2025-11-04,FLAT,,,,0.0,11656.56
2025-11-05,LONG,17.0,672.99,675.58,44.03,11700.59
2025-11-06,SHORT,17.0,674.48,668.34,104.38,11804.97
2025-11-07,SHORT,17.0,665.94,668.99,-51.85,11753.12
2025-11-10,LONG,17.0,675.24,679.43,71.23,11824.35
2025-11-11,FLAT,,,,0.0,11824.35
2025-11-12,FLAT,,,,0.0,11824.35
2025-11-13,SHORT,17.0,678.5,670.06,143.48,11967.83
2025-11-14,FLAT,,,,0.0,11967.83
2025-11-17,FLAT,,,,0.0,11967.83
2025-11-18,SHORT,18.0,660.15,658.14,36.18,12004.01
2025-11-19,LONG,18.0,658.83,660.68,33.3,12037.31
2025-11-20,LONG,17.0,670.93,650.61,-345.44,11691.87
2025-11-21,FLAT,,,,0.0,11691.87
2025-11-24,LONG,17.0,660.74,666.76,102.34,11794.21
2025-11-25,FLAT,,,,0.0,11794.21
2025-11-26,FLAT,,,,0.0,11794.21
2025-12-01,FLAT,,,,0.0,11794.21
2025-12-02,FLAT,,,,0.0,11794.21
2025-12-03,SHORT,17.0,678.56,681.88,-56.44,11737.77
2025-12-04,SHORT,17.0,683.28,682.37,15.47,11753.24
2025-12-05,LONG,17.0,683.45,683.67,3.74,11756.98
2025-12-08,FLAT,,,,0.0,11756.98
2025-12-09,FLAT,,,,0.0,11756.98
2025-12-10,FLAT,,,,0.0,11756.98
2025-12-11,FLAT,,,,0.0,11756.98
2025-12-12,SHORT,17.0,686.14,679.75,108.63,11865.61
2025-12-15,FLAT,,,,0.0,11865.61
2025-12-16,FLAT,,,,0.0,11865.61
2025-12-17,FLAT,,,,0.0,11865.61
2025-12-18,LONG,17.0,675.6,674.48,-19.04,11846.57
2025-12-19,LONG,17.0,676.59,680.59,68.0,11914.57
2025-12-22,LONG,17.0,683.94,684.83,15.13,11929.7
2025-12-23,FLAT,,,,0.0,11929.7
2025-12-24,LONG,17.0,687.95,690.38,41.31,11971.01
2025-12-26,FLAT,,,,0.0,11971.01
2025-12-29,FLAT,,,,0.0,11971.01
