date,overnight_high,overnight_low,overnight_mid,current_es,futures_bias,spy_premarket,yesterday_high,yesterday_low,yesterday_close,gap_percent,gap_type
2026-02-06,6870.0,6751.5,6810.75,6944.25,Bullish breakout,690.6,692.31,680.85,690.62,-0.0,Flat open likely
2026-02-09,6979.75,6921.0,6950.38,6985.5,Bullish breakout,694.21,694.62,688.34,694.21,0.0,Flat open likely
2026-02-10,6997.5,6970.5,6984.0,6987.5,Inside overnight range,693.91,695.87,688.34,693.95,-0.01,Flat open likely
2026-02-11,7006.25,6953.0,6979.62,7001.5,Inside overnight range,692.09,696.54,691.66,692.12,-0.0,Flat open likely
2026-02-12,6991.5,6952.25,6971.88,6981.25,Inside overnight range,691.92,697.14,689.18,691.96,-0.01,Flat open likely
2026-02-13,6868.75,6820.0,6844.38,6848.75,Inside overnight range,681.22,695.35,680.37,681.27,-0.01,Flat open likely
2026-02-17,6848.0,6805.75,6826.88,6831.5,Inside overnight range,681.6,686.28,677.52,681.75,-0.02,Flat open likely
2026-02-18,6904.0,6848.75,6876.38,6875.25,Inside overnight range,682.75,684.94,675.78,682.85,-0.01,Flat open likely
2026-02-19,6912.5,6862.0,6887.25,6869.5,Inside overnight range,686.19,689.15,682.83,686.29,-0.01,Flat open likely
2026-02-20,6904.75,6850.25,6877.5,6855.5,Inside overnight range,684.51,686.18,681.55,684.48,0.0,Flat open likely
2026-02-23,6920.75,6867.5,6894.12,6904.5,Inside overnight range,689.35,690.06,681.73,689.43,-0.01,Flat open likely
2026-02-24,6875.0,6845.75,6860.38,6857.0,Inside overnight range,682.41,690.0,680.37,682.39,0.0,Flat open likely
2026-02-26,6970.75,6941.25,6956.0,6965.0,Inside overnight range,693.1,693.68,690.1,693.15,-0.01,Flat open likely
2026-02-27,6915.5,6851.0,6883.25,6861.0,Inside overnight range,689.32,693.3,684.35,689.3,0.0,Flat open likely
2026-03-02,6857.0,6768.5,6812.75,6808.25,Inside overnight range,686.28,686.86,681.64,685.99,0.04,Flat open likely
2026-03-03,6886.0,6742.75,6814.38,6764.25,Inside overnight range,686.37,688.62,678.02,686.38,-0.0,Flat open likely
2026-03-04,6856.75,6773.5,6815.12,6850.75,Inside overnight range,680.28,682.61,669.66,680.33,-0.01,Flat open likely
2026-03-05,6900.75,6838.75,6869.75,6840.5,Inside overnight range,685.16,687.09,679.62,685.13,0.0,Flat open likely
2026-03-06,6854.0,6737.25,6795.62,6743.5,Inside overnight range,681.44,685.53,675.61,681.31,0.02,Flat open likely
2026-03-09,6701.5,6584.5,6643.0,6682.75,Inside overnight range,672.47,676.11,669.76,672.38,0.01,Flat open likely
2026-03-11,6822.5,6764.0,6793.25,6775.75,Inside overnight range,677.05,683.36,674.76,677.18,-0.02,Flat open likely
2026-03-12,6769.5,6705.75,6737.62,6730.25,Inside overnight range,676.33,680.08,673.34,676.33,0.0,Flat open likely
2026-03-13,6725.25,6640.0,6682.62,6708.5,Inside overnight range,666.04,671.65,665.87,666.06,-0.0,Flat open likely
2026-03-26,6647.0,6574.25,6610.62,6590.0,Inside overnight range,656.74,660.89,654.24,656.82,-0.01,Flat open likely
2026-03-27,6568.5,6479.5,6524.0,6483.0,Inside overnight range,645.1,654.85,644.82,645.09,0.0,Flat open likely
2026-03-30,6481.75,6360.25,6421.0,6462.75,Inside overnight range,634.08,642.66,633.11,634.09,-0.0,Flat open likely
2026-03-31,6470.0,6353.25,6411.62,6456.0,Inside overnight range,632.0,640.37,629.28,631.97,0.0,Flat open likely
2026-04-01,6643.75,6561.0,6602.38,6596.75,Inside overnight range,650.24,651.54,637.98,650.34,-0.02,Flat open likely
2026-04-02,6632.5,6503.75,6568.12,6518.25,Inside overnight range,655.18,658.52,653.0,655.24,-0.01,Flat open likely
2026-04-06,6651.25,6567.0,6609.12,6628.0,Inside overnight range,655.88,658.2,645.11,655.83,0.01,Flat open likely
2026-04-07,6667.0,6602.0,6634.5,6626.75,Inside overnight range,658.87,659.72,655.52,658.93,-0.01,Flat open likely
2026-04-08,6847.25,6652.25,6749.75,6833.75,Inside overnight range,659.26,659.61,651.06,659.22,0.01,Flat open likely
2026-04-09,6823.0,6792.5,6807.75,6807.75,Inside overnight range,675.88,677.08,671.46,676.01,-0.02,Flat open likely
2026-04-10,6888.0,6850.5,6869.25,6874.25,Inside overnight range,679.87,681.16,673.77,679.91,-0.01,Flat open likely
2026-04-13,6831.5,6767.0,6799.25,6827.25,Inside overnight range,679.34,682.03,678.45,679.46,-0.02,Flat open likely
2026-04-14,6949.5,6920.25,6934.88,6940.0,Inside overnight range,686.01,686.3,676.58,686.1,-0.01,Flat open likely
2026-04-15,7018.0,6991.75,7004.88,7010.75,Inside overnight range,694.4,694.58,687.66,694.46,-0.01,Flat open likely
2026-04-16,7078.5,7055.5,7067.0,7071.25,Inside overnight range,699.84,700.28,694.2,699.94,-0.01,Flat open likely
2026-04-17,7147.5,7075.25,7111.38,7145.25,Inside overnight range,701.55,702.78,698.53,701.66,-0.02,Flat open likely
2026-04-20,7161.5,7101.25,7131.38,7141.0,Inside overnight range,710.05,712.39,705.76,710.14,-0.01,Flat open likely
2026-04-21,7183.0,7148.0,7165.5,7161.5,Inside overnight range,708.69,709.91,706.14,708.72,-0.0,Flat open likely
2026-04-22,7157.25,7121.25,7139.25,7141.75,Inside overnight range,704.14,711.28,702.64,704.08,0.01,Flat open likely
