Ticker,Company,Sector,Sector_ETF,Sector_Score,Price,ATR,Entry_Zone_Low,Entry_Zone_High,Limit_Buy_Price,Entry_Method,Shares,Investment,Entry_Price,Stop_Loss,Stop_Loss_Pct,Take_Profit,Take_Profit_Pct,Take_Profit_Extended,Potential_Loss,Potential_Gain,Risk_Reward,Max_Hold_Days,Market_Mode,Volume,Analyst_Rating,Recommendation
CVI,CVR Energy Inc,Energy,XLE,70.00245982080443,35.62,2.02,34.61,36.23,36.23,ATR-based,20,712.4,35.62,31.58,-11.3,41.68,17.0,45.72,92.92,109.08,1.17,21,RISK_OFF,1431198,4.14,CONSIDER
GTE,Gran Tierra Energy Inc,Energy,XLE,70.00245982080443,7.49,0.46,7.26,7.63,7.63,ATR-based,95,711.55,7.49,6.57,-12.3,8.87,18.4,9.79,100.51,117.99,1.17,21,RISK_OFF,610128,2.0,CONSIDER
IMO,Imperial Oil Ltd,Energy,XLE,70.00245982080443,129.57,3.26,127.94,130.55,130.55,ATR-based,5,647.85,129.57,123.05,-5.0,139.35,7.5,145.87,37.49,44.01,1.17,21,RISK_OFF,901687,3.89,CONSIDER
NGL,NGL Energy Partners LP,Energy,XLE,70.00245982080443,16.39,0.75,16.02,16.62,16.62,ATR-based,43,704.77,16.39,14.89,-9.2,18.64,13.7,20.14,74.18,87.07,1.17,21,RISK_OFF,531298,2.0,CONSIDER
SUN,Sunoco LP,Energy,XLE,70.00245982080443,76.69,1.92,75.73,77.27,77.27,ATR-based,9,690.21,76.69,72.85,-5.0,82.45,7.5,86.29,39.74,46.66,1.17,21,RISK_OFF,762244,1.5,CONSIDER
VET,Vermilion Energy Inc,Energy,XLE,70.00245982080443,11.92,0.47,11.69,12.06,12.06,ATR-based,59,703.28,11.92,10.98,-7.9,13.33,11.8,14.27,63.78,74.87,1.17,21,RISK_OFF,2403374,2.09,CONSIDER
WHD,Cactus Inc,Energy,XLE,70.00245982080443,65.01,2.53,63.75,65.77,65.77,ATR-based,10,650.1,65.01,59.95,-7.8,72.6,11.7,77.66,58.19,68.31,1.17,21,RISK_OFF,1427889,2.0,CONSIDER
AMLP,Alerian MLP ETF,Financial,XLF,51.488186706935586,55.32,0.72,54.96,55.54,55.54,ATR-based,12,663.84,55.32,53.88,-2.6,57.48,3.9,58.92,19.87,23.33,1.17,21,RISK_OFF,2116082,,CONSIDER
AMZU,Direxion Daily AMZN Bull 2X ETF,Financial,XLF,51.488186706935586,41.72,2.61,40.41,42.5,42.5,ATR-based,17,709.24,41.72,36.5,-12.5,49.55,18.8,54.77,102.05,119.8,1.17,21,RISK_OFF,11380231,,CONSIDER
BEN,Franklin Resources Inc,Financial,XLF,51.488186706935586,33.86,0.97,33.38,34.15,34.15,ATR-based,21,711.06,33.86,31.92,-5.7,36.77,8.6,38.71,46.85,55.0,1.17,21,RISK_OFF,11415336,3.0,CONSIDER
BOXX,Alpha Architect 1-3 Month Box ETF,Financial,XLF,51.488186706935586,117.7,0.04,117.68,117.71,117.71,ATR-based,6,706.2,117.7,117.62,-0.1,117.82,0.1,117.9,0.55,0.65,1.17,21,RISK_OFF,3645248,,CONSIDER
CNO,CNO Financial Group Inc,Financial,XLF,51.488186706935586,55.09,1.18,54.5,55.44,55.44,ATR-based,12,661.08,55.09,52.73,-4.3,58.63,6.4,60.99,32.57,38.23,1.17,21,RISK_OFF,1387420,3.0,CONSIDER
DRH,Diamondrock Hospitality Co,Real Estate,XLRE,50.42711422897079,13.24,0.31,13.09,13.33,13.33,ATR-based,53,701.72,13.24,12.62,-4.7,14.17,7.0,14.79,37.79,44.36,1.17,21,RISK_OFF,4564214,2.07,CONSIDER
WY,Weyerhaeuser Co,Real Estate,XLRE,50.42711422897079,25.03,0.73,24.67,25.25,25.25,ATR-based,28,700.84,25.03,23.57,-5.8,27.22,8.7,28.68,47.01,55.19,1.17,21,RISK_OFF,10898294,1.69,CONSIDER
